                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.10781,                 65.322,                0.12873,                  7e-05,                    0.9,                0.12899,                0.10484,                0.01606,                 66.581,                0.02575,             0.00047437,             0.00047437,             0.00047437
                      2,                0.17819,                 12.253,                0.21529,                  7e-05,                    0.9,                0.12899,                0.10484,                0.04344,                 6.6539,                0.04384,             0.00092717,             0.00092717,             0.00092717
                      3,                0.30943,                 1.6706,                0.34188,                  7e-05,                    0.9,                0.12899,                0.10484,                0.06201,                0.42222,                0.08371,              0.0013564,              0.0013564,              0.0013564
                      4,                0.44749,                 1.1768,                 0.5197,                  7e-05,                    0.9,                0.12899,                0.10484,                 0.0454,                0.33199,                0.05346,              0.0013229,              0.0013229,              0.0013229
                      5,                0.27316,                0.85844,                0.29942,                  7e-05,                    0.9,                0.12899,                0.10484,                0.08514,                0.20334,                0.11476,              0.0012875,              0.0012875,              0.0012875
                      6,                0.31758,                 1.0329,                0.36218,                  7e-05,                    0.9,                0.12899,                0.10484,                0.06687,                0.16817,                  0.088,              0.0012522,              0.0012522,              0.0012522
                      7,                0.29903,                0.87635,                 0.3276,                  7e-05,                    0.9,                0.12899,                0.10484,                0.05311,                0.17851,                0.06286,              0.0012168,              0.0012168,              0.0012168
                      8,                0.23988,                0.71861,                0.25786,                  7e-05,                    0.9,                0.12899,                0.10484,                0.05378,                0.18103,                0.07053,              0.0011814,              0.0011814,              0.0011814
                      9,                0.30404,                0.89444,                0.34599,                  7e-05,                    0.9,                0.12899,                0.10484,                0.05123,                0.11681,                0.07068,              0.0011461,              0.0011461,              0.0011461
                     10,                0.18562,                 0.5826,                0.21783,                  7e-05,                    0.9,                0.12899,                0.10484,                0.05606,                0.12043,                0.07884,              0.0011107,              0.0011107,              0.0011107
                     11,                0.23099,                0.69968,                 0.2821,                0.04651,                    0.6,                0.05911,                0.03174,                0.06222,                 0.1368,                0.12699,              0.0010753,              0.0010753,              0.0010753
                     12,                0.21527,                0.71548,                0.25138,                0.04651,                    0.6,                0.05911,                0.03174,                0.02886,                0.13239,                 0.0537,                0.00104,                0.00104,                0.00104
                     13,                0.20398,                 0.5652,                0.26414,                0.07692,                   0.05,                0.08192,                0.06554,                0.03056,                0.12091,                0.05358,              0.0010046,              0.0010046,              0.0010046
                     14,                 0.2191,                0.68092,                0.27542,                0.08247,                    0.4,                0.06968,                0.04277,                0.03525,                0.10551,                0.05863,             0.00096922,             0.00096922,             0.00096922
                     15,                0.22018,                0.53228,                0.26901,                      1,                   0.05,                  0.525,                 0.2625,                0.03517,                0.13366,                0.05842,             0.00093385,             0.00093385,             0.00093385
                     16,                0.20756,                0.70934,                0.27994,                      1,                   0.05,                  0.525,                 0.2625,                0.05425,                0.19028,                0.05779,             0.00089848,             0.00089848,             0.00089848
                     17,                0.15755,                0.56143,                0.18891,                0.12409,                   0.85,                0.12128,                0.07162,                0.03428,                0.10458,                0.05483,             0.00086312,             0.00086312,             0.00086312
                     18,                0.21059,                0.69449,                0.28193,                0.04684,                      1,                0.12248,                0.07161,                0.03163,                0.09727,                0.05484,             0.00082775,             0.00082775,             0.00082775
                     19,                0.21426,                 0.6878,                0.26999,                0.05988,                      1,                0.11763,                0.08361,                0.02599,                0.10243,                0.05713,             0.00079238,             0.00079238,             0.00079238
                     20,                 0.1364,                0.46812,                0.19011,                0.11806,                   0.85,                0.15833,                0.11458,                0.02538,                0.09465,                0.05169,             0.00075701,             0.00075701,             0.00075701
                     21,                0.23456,                0.64529,                0.26547,                0.10326,                   0.95,                0.13943,                0.07564,                0.03072,                0.09313,                0.05835,             0.00072164,             0.00072164,             0.00072164
                     22,                0.18008,                0.56205,                0.22525,                0.08439,                      1,                0.24511,                0.17432,                0.02486,                0.09145,                0.05473,             0.00068628,             0.00068628,             0.00068628
                     23,                0.14936,                0.42089,                0.17648,                0.14912,                   0.85,                 0.3127,                0.19766,                0.02752,                0.09582,                 0.0522,             0.00065091,             0.00065091,             0.00065091
                     24,                0.19025,                0.57305,                0.23853,                0.15504,                      1,                 0.1866,                0.11466,                0.02727,                0.09443,                0.04953,             0.00061554,             0.00061554,             0.00061554
                     25,                0.18744,                0.60259,                0.25001,                0.11236,                      1,                0.19741,                0.13533,                0.02536,                0.09383,                0.05077,             0.00058017,             0.00058017,             0.00058017
                     26,                0.16999,                0.52947,                0.22495,                0.11173,                      1,                0.24045,                0.16054,                 0.0258,                 0.0902,                0.04858,             0.00054481,             0.00054481,             0.00054481
                     27,                0.18958,                0.55025,                0.22806,                0.16071,                    0.9,                0.30063,                0.19114,                0.02888,                 0.0898,                0.05054,             0.00050944,             0.00050944,             0.00050944
                     28,                 0.1838,                0.67568,                 0.2485,                0.06431,                      1,                0.34735,                0.24854,                0.02367,                0.09101,                0.04756,             0.00047407,             0.00047407,             0.00047407
                     29,                0.13491,                0.43232,                0.18555,                 0.1374,                    0.9,                0.29772,                 0.2116,                0.02791,                0.08866,                0.04753,              0.0004387,              0.0004387,              0.0004387
                     30,                0.13496,                0.47274,                0.18508,                0.11696,                      1,                0.35959,                0.25015,                0.02291,                0.08583,                0.04851,             0.00040334,             0.00040334,             0.00040334
                     31,                0.08992,                 0.2744,                0.14393,                0.14961,                   0.95,                0.40923,                0.28931,                0.02481,                0.08822,                0.04676,             0.00036797,             0.00036797,             0.00036797
