                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.34426,                 76.611,                0.45059,                      0,                      0,                      0,                      0,                0.05591,                 123.33,                0.10246,             0.00047437,             0.00047437,             0.00047437
                      2,                 0.4031,                 30.895,                0.47365,                      0,                      0,                      0,                      0,                0.06083,                 39.264,                0.10275,             0.00063697,             0.00063697,             0.00063697
                      3,                0.51624,                 11.604,                0.55617,                      0,                      0,                      0,                      0,                 0.0403,                  16.72,                0.09414,             0.00048519,             0.00048519,             0.00048519
