                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.10781,                 65.322,                0.12873,                  7e-05,                    0.9,                0.12899,                0.10484,                0.01606,                 66.581,                0.02575,             0.00047437,             0.00047437,             0.00047437
                      2,                 0.1501,                 15.503,                0.17904,                   0.16,                    0.2,                0.14048,                0.10872,                 0.0271,                 13.503,                0.03341,             0.00063697,             0.00063697,             0.00063697
                      3,                0.19357,                 4.2888,                0.22778,                0.10063,                    0.8,                0.10946,                0.07579,                 0.0202,                 5.3357,                0.02811,             0.00048519,             0.00048519,             0.00048519
